"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"460","Appartamento via Aniello Falcone, Vomero, Napoli","2500.0","5","150.0","3+","2"
"461","Bilocale via Vecchia San Rocco, Chiaiano, Napoli","650.0","2","55.0","nan","2"
"462","Monolocale via della Chiesa, Chiaiano, Napoli","400.0","nan","33.0","nan","2"
"463","Bilocale buono stato, Napoli","850.0","2","70.0","2","2"
"464","Trilocale buono stato, primo piano, Stella - Materdei, Napoli","950.0","3","110.0","2","2"
"465","Monolocale via Ascanio, Bagnoli, Napoli","600.0","nan","150.0","nan","2"
"466","Albergo piazzetta Orefici, Borgo Orefici, Napoli","nan","5+","900.0","nan","2"
"467","Bilocale via Crispi, Piazza Amedeo - Parco Margherita, Napoli","1000.0","2","48.0","nan","2"
"468","Bilocale piazza Salvatore Lo Bianco, Centro Direzionale, Napoli","720.0","2","16.0","nan","2"
"469","Attico ottimo stato, 150 m², Museo, Napoli","1500.0","3","150.0","2","2"
"470","Quadrilocale via Divisione Siena, Fuorigrotta, Napoli","650.0","4","80.0","nan","2"
"471","Quadrilocale via Divisione Siena, Fuorigrotta, Napoli","650.0","4","80.0","nan","2"
"472","Trilocale ottimo stato, Vomero, Napoli","3500.0","3","170.0","3","2"
"473","Bilocale via Monte di Dio 13, Santa Lucia, Napoli","500.0","2","40.0","nan","2"
"474","Villa unifamiliare via Torquato Tasso, Vomero, Napoli","nan","nan","750.0","nan","2"
"475","Appartamento via Domenico Cimarosa, Vomero, Napoli","1870.0","nan","116.0","nan","2"
"476","Villa unifamiliare via Torquato Tasso, Vomero, Napoli","nan","nan","250.0","nan","0"
"477","Albergo via Milano 57, Vasto, Napoli","2500.0","nan","2.4","nan","0"
"478","Quadrilocale viale del Poggio di Capodimonte, Colli Aminei - Capodimonte, Napoli","1200.0","4","143.0","2","0"
"479","Trilocale via Torquato Tasso 202, Vomero, Napoli","1050.0","3","90.0","2","0"
"480","Appartamento via Vincenzo Scala 26, Arenella, Napoli","1199.0","5+","140.0","2","0"
"481","Monolocale via Nicola Ricciardi 76, Posillipo, Napoli","450.0","nan","40.0","nan","0"
"482","Bilocale via Chiaia 190, Monte di Dio, Napoli","1100.0","2","45.0","nan","0"
"483","Quadrilocale via Arenaccia 29, Arenaccia, Napoli","1100.0","4","100.0","nan","0"
"484","Bilocale Vico Latilla 18, Monte Santo, Napoli","1300.0","2","50.0","2","0"
"485","Bilocale via Giambattista Marino 4, Fuorigrotta, Napoli","1200.0","2","70.0","nan","0"
"486","Bilocale via Mariano D'Amelio 14, Arenella, Napoli","1200.0","2","95.0","2","0"
"487","Bilocale Vico Lungo del Gelso 122, Monte Santo, Napoli","750.0","2","60.0","2","0"
"488","Quadrilocale via Kagoshima 36, Vomero, Napoli","1900.0","4","145.0","2","0"
"489","Bilocale via Pietro Trinchera 4, Tribunali, Napoli","750.0","2","63.0","nan","0"
"490","Bilocale via Vicinale Margherita 19, Chiaiano, Napoli","650.0","2","95.0","nan","0"
"491","Bilocale piazza Enrico De Leva 18, Stella - Materdei, Napoli","800.0","2","70.0","2","0"
"492","Trilocale via Antonio Beccadelli 33, Bagnoli, Napoli","600.0","3","40.0","nan","0"
"493","Bilocale corso Secondigliano 230, Secondigliano, Napoli","600.0","2","70.0","nan","0"
"494","Bilocale Vico Berio 2, Quartieri Spagnoli, Napoli","1800.0","2","40.0","nan","0"
"495","Bilocale via Francesco Crispi 90, Piazza Amedeo - Parco Margherita, Napoli","750.0","2","55.0","nan","0"
"496","Terratetto unifamiliare piazza Trieste e Trento 6, Monte di Dio, Napoli","350.0","nan","20.0","nan","0"
"497","Monolocale via dell'Epomeo, Soccavo, Napoli","550.0","nan","40.0","nan","0"
"498","Bilocale discesa Gaiola 73, Marechiaro, Napoli","700.0","2","30.0","nan","0"
"499","Quadrilocale via Mattia Preti 29, Vomero, Napoli","1300.0","4","130.0","nan","0"
"500","Appartamento via Francesco Petrarca 93, Posillipo, Napoli","1900.0","5","190.0","3","0"
"501","Quadrilocale piazza del Plebiscito, Porto - Municipio, Napoli","2900.0","4","160.0","2","3"
"502","Trilocale via Bernardo Cavallino, Rione Alto, Napoli","1000.0","3","80.0","nan","3"
"503","Trilocale corso Vittorio Emanuele 182, Vomero, Napoli","1130.0","3","75.0","nan","3"
"504","Trilocale via Francesco De Pinedo 43, Secondigliano, Napoli","800.0","3","80.0","nan","3"
"505","Bilocale via Nuova Toscanella 83, Chiaiano, Napoli","1000.0","2","100.0","nan","3"
"506","Quadrilocale via Diocleziano, Fuorigrotta, Napoli","1000.0","4","105.0","nan","3"
"507","Bilocale via Alessandro Manzoni 191, Posillipo, Napoli","1250.0","2","40.0","nan","3"
"508","Trilocale Vico degli Spicoli 4, Mercato, Napoli","820.0","3","40.0","nan","3"
"509","Appartamento largo Francesco Celebrano, Arenella, Napoli","1300.0","5","120.0","2","3"
"510","Trilocale via Ponte dei Francesi 39, San Giovanni a Teduccio, Napoli","600.0","3","90.0","nan","3"
"511","Bilocale via Camillo De Nardis 49, Vomero, Napoli","1800.0","2","50.0","nan","3"
"512","Trilocale via Giuseppe Simonelli, Monte Santo, Napoli","1000.0","3","80.0","nan","3"
"513","Trilocale via dell'Epomeo, Soccavo, Napoli","1500.0","3","110.0","2","3"
"514","Quadrilocale via Eduardo Nicolardi 52, Colli Aminei - Capodimonte, Napoli","1300.0","4","120.0","2","3"
"515","Appartamento Vico Santa Maria Vertecoeli 31, Tribunali, Napoli","490.0","5+","240.0","2","3"
"516","Trilocale via Giovanni Medrano 1, Colli Aminei - Capodimonte, Napoli","800.0","3","75.0","nan","3"
"517","Bilocale via Cesare Rosaroll 15, Tribunali, Napoli","850.0","2","50.0","nan","3"
"518","Bilocale via Chiaia, Chiaia, Napoli","950.0","2","40.0","nan","3"
"519","Trilocale via Confalone, Arenella, Napoli","900.0","3","80.0","nan","3"
"520","Bilocale via Amato di Montecassino 14, Stella - Materdei, Napoli","750.0","2","40.0","nan","3"
"521","Palazzo - Edificio via Giovanni Pascoli 86, Posillipo, Napoli","1100.0","3","56.0","2","3"
"522","Quadrilocale via Duomo 19, Tribunali, Napoli","1400.0","4","85.0","2","3"
"523","Bilocale Vico Primo della Quercia 1, Centro Storico, Napoli","850.0","2","50.0","nan","3"
"524","Bilocale via Gaetano Argento 14, Arenaccia, Napoli","550.0","2","60.0","2","3"
"525","Appartamento via Francesco Paolo Tosti 49, Vomero, Napoli","350.0","5","97.0","2","3"
"526","Bilocale via Amerigo Vespucci 2, Garibaldi - Ferrovia, Napoli","750.0","2","35.0","nan","1"
"527","Bilocale via del Parco Regina Margherita 93, Piazza Amedeo - Parco Margherita, Napoli","1200.0","2","80.0","nan","1"
"528","Bilocale corso Meridionale 39, Vasto, Napoli","600.0","2","35.0","nan","1"
"529","Bilocale via Giacomo Piscicelli 10, Chiaia, Napoli","850.0","2","58.0","2","1"
"530","Bilocale viale Michelangelo 35, Vomero, Napoli","1300.0","2","80.0","nan","1"
"531","Quadrilocale via San Giovanni in Corte 2, Borgo Orefici, Napoli","950.0","4","90.0","2","1"
"532","Bilocale via Vicinale Ferriera 13, Poggioreale, Napoli","480.0","2","40.0","nan","1"
"533","Monolocale via Pisciarelli, Bagnoli, Napoli","300.0","nan","25.0","nan","1"
"534","Quadrilocale via Francesco Caracciolo 26, Mergellina - Piedigrotta, Napoli","3100.0","4","140.0","3","1"
"535","Quadrilocale via Michelangelo Schipa, Piazza Amedeo - Parco Margherita, Napoli","1450.0","4","110.0","2","1"
"536","Villa bifamiliare via Vecchia Napoli 10, Chiaiano, Napoli","680.0","2","75.0","nan","1"
"537","Trilocale via Santa Maria Antesaecula 77, Sanità, Napoli","600.0","3","70.0","nan","1"
"538","Quadrilocale largo Sermoneta 24, Mergellina - Piedigrotta, Napoli","1600.0","4","50.0","nan","1"
"539","Terratetto unifamiliare via Udalrigo Masoni, Secondigliano, Napoli","850.0","3","150.0","2","1"
"540","Trilocale via Belisario Corenzio, Vomero, Napoli","1200.0","3","55.0","2","1"
"541","Trilocale via Belvedere 84, Vomero, Napoli","900.0","3","80.0","2","1"
"542","Trilocale via Caio Duilio 8, Fuorigrotta, Napoli","1300.0","3","120.0","2","1"
"543","Trilocale Calata Santi Cosma e Damiano 12, Centro Storico, Napoli","280.0","3","90.0","2","1"
"544","Bilocale via Taddeo da Sessa, Centro Direzionale, Napoli","2000.0","2","40.0","nan","1"
"545","Bilocale via Brigata Bologna 69, Fuorigrotta, Napoli","700.0","2","70.0","nan","1"
"546","Trilocale via Giovanni Merliani 1, Vomero, Napoli","1250.0","3","90.0","nan","1"
"547","Bilocale Calata Capodichino 228, Capodichino, Napoli","700.0","2","50.0","nan","1"
"548","Trilocale via Isonzo 44, Soccavo, Napoli","800.0","3","80.0","2","1"
"549","Bilocale via Acate 81, Bagnoli, Napoli","1000.0","2","35.0","nan","1"
"550","Bilocale via Luca Giordano 164, Vomero, Napoli","2250.0","2","60.0","2","1"
