"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"81","Monolocale via Scaturchio, San Girolamo, Bari","1500.0","nan","162.0","nan","8"
"82","Monolocale viale Ennio 3, Picone, Bari","800.0","nan","60.0","nan","8"
"83","Villa unifamiliare via dei gerani, Bari","700.0","3","70.0","nan","8"
"84","Appartamento via Nilo 18, Carbonara di Bari, Bari","900.0","5","100.0","2","8"
"85","Monolocale via Pasubio 92, Carrassi, Bari","1500.0","nan","390.0","nan","8"
"86","Trilocale via Gargasole , 16, Carrassi, Bari","800.0","3","98.0","nan","8"
"87","Monolocale via Capruzzi 284, Picone, Bari","1200.0","nan","120.0","nan","8"
"88","Appartamento via De Rossi 190, Murat, Bari","800.0","5","130.0","2","8"
"89","Bilocale via Melo da Bari, Murat, Bari","600.0","2","60.0","nan","8"
"90","Appartamento via Capruzzi, 284, Picone, Bari","nan","nan","120.0","nan","8"
"91","Villa plurifamiliare via Fanelli, Carbonara di Bari, Bari","nan","5+","3.2","nan","8"
"92","Monolocale via Maria Cristina di Savoia 58, San Pasquale, Bari","630.0","nan","30.0","nan","8"
"93","Bilocale via Bitritto 100, Santa Caterina, Bari","600.0","2","1.0","nan","8"
"94","Trilocale via Alessandro Maria Calefati 272, Murat, Bari","900.0","3","110.0","2","8"
"95","Bilocale via Vittorio Veneto 34, Palese, Bari","570.0","2","70.0","nan","8"
"96","Bilocale via Bengasi 7, Picone, Bari","1000.0","2","40.0","nan","8"
"97","Trilocale via Vittorio Veneto 25, Palese, Bari","1000.0","3","140.0","2","8"
"98","Bilocale via Giovanni Amendola 61, San Pasquale, Bari","900.0","2","82.0","nan","8"
"99","Bilocale via Bengasi 25, Picone, Bari","1300.0","2","85.0","nan","8"
"100","Trilocale via Sagarriga Visconti 176, Murat, Bari","1300.0","3","81.0","nan","8"
"101","Villa a schiera via Alfredo Giovine 49, San Giorgio, Bari","650.0","3","95.0","nan","6"
"102","Monolocale via Principe Amedeo 40, Murat, Bari","1050.0","nan","48.0","nan","6"
"103","Bilocale via Antonio e Nicola Sorrentino 6, Carrassi, Bari","1150.0","2","50.0","nan","6"
"104","Bilocale via Antonio e Nicola Sorrentino 6, Carrassi, Bari","1200.0","2","60.0","nan","6"
"105","Trilocale via Suor Maria Lucchesi 3, Santo Spirito, Bari","750.0","3","80.0","nan","6"
"106","Loft traversa Isonzo 263, Picone, Bari","970.0","nan","35.0","nan","6"
"107","Trilocale via Monfalcone 5, Carrassi, Bari","1000.0","3","90.0","nan","6"
"108","Quadrilocale via Gaetano Devitofrancesco 31/C, Carrassi, Bari","1200.0","4","120.0","2","6"
"109","Bilocale via Trento 3, San Pasquale, Bari","575.0","2","70.0","nan","6"
"110","Bilocale via Emanuele Mola 14, Umbertina - Madonnella, Bari","1500.0","2","65.0","nan","6"
"111","Bilocale viale dei Caduti di Tutte le Guerre 1, Japigia, Bari","700.0","2","54.0","nan","6"
"112","Bilocale Stradella Petrera 8, San Pasquale, Bari","900.0","2","40.0","nan","6"
"113","Bilocale via Quintino Sella 72, Murat, Bari","850.0","2","95.0","nan","6"
"114","Trilocale via Stefano Felis 2, Santo Spirito, Bari","1200.0","3","130.0","nan","6"
"115","Bilocale via Lecce 34, Picone, Bari","700.0","2","40.0","nan","6"
"116","Bilocale viale dei Caduti di Tutte le Guerre, Japigia, Bari","800.0","2","66.0","nan","6"
"117","Appartamento via 24 Maggio 36, Umbertina - Madonnella, Bari","3700.0","5","180.0","2","6"
"118","Quadrilocale corso Camillo Benso di Cavour 113, Murat, Bari","1900.0","4","170.0","2","6"
"119","Appartamento via Mauro Amoruso 18, Poggiofranco, Bari","700.0","nan","95.0","nan","6"
"120","Trilocale via Vittorio Veneto, Palese, Bari","900.0","3","140.0","2","6"
"121","Bilocale via Ernesto Che Guevara 18, Poggiofranco, Bari","600.0","2","60.0","nan","6"
"122","Bilocale via Michele Garruba 122, Murat, Bari","420.0","2","45.0","nan","6"
"123","Appartamento via Giulio Petroni 119, Poggiofranco, Bari","600.0","nan","50.0","nan","6"
"124","Palazzo - Edificio via Savona 6, Santo Spirito, Bari","420.0","nan","45.0","nan","6"
"125","Bilocale via Giulio Petroni 100, Poggiofranco, Bari","550.0","2","39.0","nan","6"
"126","Bilocale via Maria Cristina di Savoia 58, San Pasquale, Bari","650.0","2","50.0","nan","0"
