"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1761","Bilocale viale Giovanni Da Cermenate 80, Cermenate - Abbiategrasso, Milano","1250.0","2","75.0","2","0"
"1762","Bilocale via Don Giovanni Bosco, Lodi - Brenta, Milano","1100.0","2","45.0","nan","0"
"1763","Monolocale Ripa di Porta Ticinese 33, Navigli - Darsena, Milano","800.0","nan","30.0","nan","0"
"1764","Trilocale piazza della Trivulziana 3, Bicocca, Milano","1950.0","3","119.0","2","0"
"1765","Bilocale via Cusani 1, Duomo, Milano","1600.0","2","60.0","nan","0"
"1766","Bilocale via BIGNAMI 8/A, Bignami - Ponale, Milano","1000.0","2","55.0","nan","0"
"1767","Bilocale via Bessarione 42, Corvetto, Milano","750.0","2","40.0","nan","0"
"1768","Trilocale viale Coni Zugna 36, Solari, Milano","2650.0","3","105.0","nan","0"
"1769","Bilocale via Bessarione 42, Corvetto, Milano","750.0","2","40.0","nan","0"
"1770","Bilocale via Melzo, Porta Venezia, Milano","1300.0","2","75.0","nan","0"
"1771","Bilocale via Della Torre, Turro, Milano","1000.0","2","55.0","nan","0"
"1772","Monolocale via Andrea Ponti 7, Barona, Milano","850.0","nan","35.0","nan","0"
"1773","Bilocale via Negroli 5, Argonne - Corsica, Milano","1100.0","2","45.0","nan","0"
"1774","Trilocale via Passo Rolle 3, Quartiere Feltre, Milano","1700.0","3","90.0","2","0"
"1775","Bilocale corso Porta Ticinese 16, Carrobbio, Milano","1500.0","2","35.0","nan","0"
"1776","Bilocale via Franco Russoli 7, Famagosta, Milano","1300.0","2","55.0","nan","1"
"1777","Bilocale via Borgo Nuovo 18, Brera, Milano","2000.0","2","55.0","nan","1"
"1778","Bilocale via Santa Cecilia 6, San Babila, Milano","2600.0","2","66.0","nan","1"
"1779","Bilocale viale Tibaldi, Corso San Gottardo, Milano","1375.0","2","75.0","nan","1"
"1780","Trilocale via Plinio 34, Morgagni, Milano","3300.0","3","100.0","nan","1"
"1781","Monolocale via Napo Torriani 22, Centrale, Milano","750.0","nan","22.0","nan","1"
"1782","Attico Foro Buonaparte 48, Cadorna - Castello, Milano","1583.0","2","60.0","nan","1"
"1783","Trilocale via Bartolomeo Eustachi 29, Morgagni, Milano","2084.0","3","70.0","2","1"
