"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1684","Attico via Domenico de Dominicis 26, Casal Bertone, Roma","1400.0","2","48.0","nan","5"
"1685","Bilocale via di Propaganda, Spagna, Roma","1650.0","2","95.0","nan","5"
"1686","Appartamento via Cassia 531, Cassia - San Godenzo, Roma","3500.0","5+","234.0","3","5"
"1687","Trilocale via Latina 284, Appio Latino, Roma","1300.0","3","75.0","2","5"
"1688","Attico via Clitunno 12, Trieste - Coppedè, Roma","1400.0","2","65.0","nan","5"
"1689","Trilocale via Luigi Mancinelli, Africano - Villa Chigi, Roma","1300.0","3","70.0","nan","5"
"1690","Quadrilocale via del Governo Vecchio 48, Piazza Navona, Roma","2500.0","4","129.0","2","5"
"1691","Attico piazza di Santa Maria Liberatrice 47, Testaccio, Roma","1200.0","3","75.0","nan","5"
"1692","Trilocale via di Macchia Palocco, Casal Palocco, Roma","1800.0","3","181.0","nan","5"
"1693","Bilocale via Adda 13, Salario - Porta Pia, Roma","800.0","2","40.0","nan","5"
"1694","Trilocale via Appia Nuova 677, Colli Albani, Roma","1400.0","3","100.0","2","5"
"1695","Villa unifamiliare largo dell'Olgiata 15, Olgiata, Roma","nan","5+","1.5","3+","5"
"1696","Bilocale via Romeo Rodriguez Pereira 116, Balduina, Roma","900.0","2","65.0","nan","5"
"1697","Monolocale via Boncompagni, Sallustiano, Roma","800.0","nan","35.0","nan","5"
"1698","Monolocale via Carlo Cassola, Settecamini, Roma","500.0","nan","35.0","nan","5"
"1699","Bilocale via Livigno, Prima Porta, Roma","800.0","2","60.0","nan","5"
"1700","Quadrilocale via delle Messi d'Oro, Pietralata, Roma","900.0","4","100.0","2","5"
"1701","Mansarda via Antonio Sogliano 56, Pisana - Bravetta, Roma","850.0","2","60.0","nan","5"
"1702","Trilocale piazza dei Prati degli Strozzi, Mazzini - Delle Vittorie, Roma","1600.0","3","95.0","nan","5"
"1703","Trilocale largo Giuseppe Guastalla 8, Mezzocammino, Roma","1100.0","3","85.0","2","5"
"1704","Trilocale via Paolo Bentivoglio, Gregorio VII - Piccolomini, Roma","1150.0","3","75.0","nan","5"
"1705","Trilocale via Pusiano 10, Africano - Villa Chigi, Roma","2500.0","3","151.0","nan","5"
"1706","Bilocale viale delle Milizie 15A, Prati, Roma","4100.0","2","50.0","nan","5"
"1707","Monolocale buono stato, piano terra, Navigatori, Roma","600.0","nan","40.0","nan","5"
"1708","Bilocale via Sergio I, Gregorio VII - Piccolomini, Roma","900.0","2","50.0","nan","5"
"1709","Appartamento via Camillo Benso di Cavour, Monti, Roma","5500.0","5+","130.0","3+","5"
"1710","Bilocale via in Arcione, Barberini, Roma","2100.0","2","90.0","nan","5"
"1711","Trilocale via Manlio di Veroli, Nuovo Salario, Roma","1300.0","3","90.0","2","5"
"1712","Bilocale via Adolfo Celi, Porta di Roma, Roma","900.0","2","47.0","nan","5"
"1713","Bilocale via Berna, Torrino, Roma","1050.0","2","86.0","nan","5"
"1714","Attico via Costantino Lazzari, Villa Gordiani, Roma","1250.0","3","101.0","nan","5"
"1715","Trilocale via Dei Panfili 122, Ostia Ponente, Roma","1500.0","3","80.0","nan","5"
"1716","Monolocale via dei Cluniacensi 36, Casal Bruciato, Roma","690.0","nan","40.0","nan","5"
"1717","Attico piazza Barberini, Vittorio Veneto, Roma","2700.0","3","120.0","2","5"
"1718","Attico via di Torrevecchia, Torrevecchia, Roma","1250.0","4","100.0","2","5"
"1719","Bilocale via Lorenzo Allievi, Ponte Galeria, Roma","770.0","2","70.0","nan","5"
"1720","Quadrilocale via 20 Settembre, Repubblica, Roma","1650.0","4","105.0","nan","5"
"1721","Trilocale via Trionfale 6583, Balduina, Roma","1350.0","3","98.0","nan","5"
