"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1352","Trilocale piazza Gian Lorenzo Bernini, Campidoglio, Torino","690.0","3","90.0","nan","1"
"1353","Monolocale via Urbino, Aurora, Torino","360.0","nan","30.0","nan","1"
"1354","Monolocale via Bernardino Drovetti, Cit Turin, Torino","400.0","nan","25.0","nan","1"
"1355","Trilocale via Natale Palli, Borgo Vittoria, Torino","590.0","3","90.0","nan","1"
"1356","Bilocale via Valentino Carrera, Parella, Torino","450.0","2","50.0","nan","1"
"1357","Appartamento corso Molise, Le Vallette, Torino","650.0","5","100.0","nan","1"
"1358","Monolocale corso Guglielmo Marconi, San Salvario - Baretti, Torino","400.0","nan","35.0","nan","1"
"1359","Monolocale corso Moncalieri 516, Cavoretto, Torino","700.0","nan","55.0","nan","1"
"1360","Trilocale corso Giacomo Matteotti 47, Cittadella, Torino","1300.0","3","110.0","nan","1"
"1361","Bilocale terzo piano, Parella, Torino","460.0","2","55.0","nan","1"
"1362","Bilocale via Costigliole, San Paolo, Torino","550.0","2","45.0","nan","1"
"1363","Bilocale corso Vercelli, Rebaudengo, Torino","420.0","2","60.0","nan","1"
"1364","Bilocale terzo piano, Parella, Torino","400.0","2","50.0","nan","1"
"1365","Trilocale via Chiesa della Salute, Borgo Vittoria, Torino","600.0","3","90.0","nan","1"
"1366","Monolocale via Venasca, Cenisia, Torino","330.0","nan","25.0","nan","1"
"1367","Quadrilocale ottimo stato, terzo piano, San Salvario - Dante, Torino","950.0","4","65.0","nan","1"
"1368","Attico via Roma, Via Roma, Torino","4000.0","4","150.0","3","1"
"1369","Mansarda ottimo stato, 81 m², Santa Rita, Torino","900.0","4","81.0","nan","1"
"1370","Bilocale via Roma, Via Roma, Torino","1250.0","2","60.0","nan","1"
"1371","Bilocale via Aosta, Aurora, Torino","900.0","2","nan","nan","1"
"1372","Monolocale piazza Palazzo di CittÃ , Quadrilatero Romano, Torino","900.0","nan","nan","nan","1"
"1373","Bilocale via leini, 18, Barriera di Milano, Torino","250.0","2","50.0","nan","1"
"1374","Attico piazza Pasquale Villari, Madonna di Campagna, Torino","700.0","5","105.0","nan","1"
"1375","Monolocale ottimo stato, primo piano, Borgo Vittoria, Torino","360.0","nan","30.0","nan","1"
"1376","Trilocale via Paolo Sacchi, San Secondo, Torino","680.0","3","75.0","nan","3"
"1377","Monolocale via Filadelfia, Santa Rita, Torino","270.0","nan","30.0","nan","3"
"1378","Monolocale via Livorno, Parco Dora, Torino","320.0","nan","30.0","nan","3"
"1379","Appartamento corso Giacomo Matteotti 43, Cittadella, Torino","3200.0","5+","250.0","3","3"
"1380","Quadrilocale ottimo stato, piano rialzato, San Donato, Torino","800.0","4","90.0","nan","3"
"1381","Palazzo - Edificio via Tollegno, Barriera di Milano, Torino","nan","5+","3.2","3+","3"
"1382","Appartamento via Carlo Alberto, Via Roma, Torino","4000.0","5","250.0","2","3"
"1383","Bilocale via Sempione, Barriera di Milano, Torino","390.0","2","45.0","nan","3"
"1384","Monolocale corso Bernardino Telesio, Parella, Torino","890.0","nan","nan","nan","3"
"1385","Quadrilocale via della Rocca, Via della Rocca, Torino","1900.0","4","120.0","2","3"
"1386","Monolocale buono stato, piano rialzato, Cit Turin, Torino","300.0","nan","15.0","nan","3"
"1387","Appartamento corso Duca degli Abruzzi, Crocetta, Torino","300.0","5","11.0","nan","3"
"1388","Bilocale terzo piano, Santa Rita, Torino","750.0","2","55.0","nan","3"
"1389","Bilocale torino, Torino","700.0","2","60.0","nan","3"
"1390","Monolocale via Claudio Luigi Berthollet, San Salvario - Baretti, Torino","1000.0","nan","nan","nan","3"
"1391","Bilocale via Val della Torre, Lucento, Torino","1050.0","2","nan","nan","3"
"1392","Trilocale corso Guglielmo Marconi, San Salvario - Baretti, Torino","1650.0","3","nan","nan","3"
"1393","Quadrilocale via Filippo Juvarra, Cittadella, Torino","2400.0","4","nan","nan","3"
"1394","Bilocale via Bologna, Aurora, Torino","730.0","2","nan","nan","3"
"1395","Monolocale piazza Palazzo di CittÃ , Quadrilatero Romano, Torino","900.0","nan","nan","nan","3"
"1396","Monolocale largo Bardonecchia, Pozzo Strada, Torino","1200.0","nan","nan","nan","3"
"1397","Monolocale corso Francesco Ferrucci, Cenisia, Torino","550.0","nan","nan","nan","3"
"1398","Bilocale via Torquato Tasso, Quadrilatero Romano, Torino","980.0","2","nan","nan","3"
"1399","Monolocale via Maria Ausiliatrice, Aurora, Torino","390.0","nan","nan","nan","3"
"1400","Bilocale via delle Orfane, Quadrilatero Romano, Torino","1000.0","2","nan","nan","3"
"1401","Bilocale via Giacomo Dina, Mirafiori Nord, Torino","780.0","2","13.0","nan","4"
