"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"210","Monolocale via 20 Settembre 20, Quadrilatero, Genova","500.0","nan","25.0","nan","4"
"211","Trilocale via Capitano del Popolo 1, Sestri Ponente, Genova","800.0","3","93.0","nan","4"
"212","Bilocale via Giuseppe Piantelli, Staglieno, Genova","400.0","2","65.0","nan","4"
"213","Appartamento via Miramare, Carignano, Genova","2000.0","5","190.0","2","4"
"214","Quadrilocale via Maurizio Sacchi, San Martino, Genova","600.0","4","90.0","nan","4"
"215","Monolocale via Eros da Ros 8, Nervi, Genova","1000.0","nan","35.0","nan","4"
"216","Quadrilocale via Alfredo Catalani 1A, Sestri Ponente, Genova","700.0","4","100.0","nan","4"
"217","Appartamento via Piaggio, Castelletto, Genova","1500.0","5+","210.0","3","4"
"218","Trilocale via Gian Battista Gaulli, San Fruttuoso, Genova","480.0","3","80.0","nan","4"
"219","Trilocale via Filippo Corridoni, Albaro, Genova","1300.0","3","90.0","2","4"
"220","Bilocale via Don Luigi Perrone 15, Sestri Ponente, Genova","1200.0","2","75.0","nan","4"
"221","Bilocale via Quarnaro, Albaro, Genova","1000.0","2","55.0","nan","4"
"222","Bilocale via Luigi Cibrario 37, Sestri Ponente, Genova","1050.0","2","67.0","nan","4"
"223","Trilocale via Chiaravagna 9, Sestri Ponente, Genova","850.0","3","108.0","nan","4"
"224","Trilocale via Assab 1, Sturla, Genova","750.0","3","90.0","nan","4"
"225","Quadrilocale Vico dell'Argento 10, Maddalena, Genova","1500.0","4","150.0","2","4"
"226","Attico piazza Duca degli Abruzzi, Nervi, Genova","1450.0","5","80.0","2","2"
"227","Appartamento Vico dei Parmigiani 1, Centro Città, Genova","2200.0","5+","300.0","2","2"
"228","Bilocale via Amerigo Vespucci 40, Pegli, Genova","430.0","2","48.0","nan","2"
"229","Appartamento viale Aspromonte 3, Carignano, Genova","1100.0","5","149.0","nan","2"
"230","Appartamento via 16 Giugno 1944 7A, Sestri Ponente, Genova","800.0","5","123.0","2","2"
"231","Trilocale via Giovanni Caboto 5, Nervi, Genova","1250.0","3","85.0","nan","2"
"232","Bilocale via Lodovico Calda 38, Sestri Ponente, Genova","500.0","2","65.0","nan","2"
"233","Quadrilocale via Sant'Alberto 7, Sestri Ponente, Genova","850.0","4","126.0","2","2"
"234","Trilocale via Monte Rotondo, Sestri Ponente, Genova","1200.0","3","85.0","nan","2"
"235","Trilocale viale alla Pineta, Pegli, Genova","650.0","3","70.0","nan","2"
"236","Monolocale via Sapello 25, Pra', Genova","430.0","nan","43.0","nan","2"
"237","Bilocale via Enrico Hillyer Giglioli, Marassi, Genova","450.0","2","72.0","nan","2"
"238","Quadrilocale piazza Treponti 4, Sampierdarena, Genova","1000.0","4","91.0","2","2"
"239","Appartamento viale CARLO CANEPA, Sestri Ponente, Genova","750.0","5","160.0","2","2"
"240","Bilocale via Santa Maria della Costa 14, Sestri Ponente, Genova","400.0","2","45.0","nan","2"
"241","Trilocale buono stato, sesto piano, Molassana, Genova","550.0","3","91.0","nan","2"
"242","Appartamento via Don Giovanni Verità, Voltri, Genova","550.0","5+","80.0","nan","2"
"243","Bilocale via Ciro Menotti 9, Sestri Ponente, Genova","550.0","2","50.0","nan","2"
"244","Trilocale ottimo stato, quinto piano, Foce, Genova","2100.0","3","87.0","nan","2"
"245","Bilocale via Raimondo Amedeo Vigna 14, Sestri Ponente, Genova","1400.0","2","91.0","nan","2"
"246","Trilocale buono stato, terzo piano, San Martino, Genova","600.0","3","80.0","nan","2"
"247","Mansarda via 25 Aprile, Centro Città, Genova","1100.0","3","85.0","nan","2"
"248","Quadrilocale via Angelo Orsini, Albaro, Genova","1000.0","4","65.0","nan","2"
"249","Bilocale salita di San Barnaba, Castelletto, Genova","500.0","2","70.0","nan","2"
"250","Appartamento viale Canepa, Sestri Ponente, Genova","750.0","5","120.0","nan","2"
"251","Bilocale via Gaetano Donizetti 20, Sestri Ponente, Genova","600.0","2","80.0","nan","1"
"252","Monolocale via GROPALLO, San Vincenzo, Genova","600.0","nan","60.0","nan","1"
"253","Trilocale via Simone Schiaffino 16, Quarto, Genova","750.0","3","81.0","nan","1"
"254","Quadrilocale viale Ponte dell'Ammiraglio, Quarto, Genova","850.0","4","120.0","2","1"
"255","Appartamento piazza Daniele Manin, Manin, Genova","850.0","5","120.0","2","1"
"256","Appartamento via Trento, Albaro, Genova","700.0","5+","84.0","nan","1"
"257","Bilocale piazza San Giorgio, Molo, Genova","900.0","2","130.0","nan","1"
"258","Appartamento ottimo stato, terzo piano, Carignano, Genova","2500.0","5+","166.0","2","1"
"259","Trilocale via Raffaele Pratolongo, Sturla, Genova","550.0","3","90.0","2","1"
"260","Bilocale via Chiaravagna 5, Sestri Ponente, Genova","950.0","2","97.0","nan","1"
"261","Quadrilocale via Don Luigi Perrone 31, Sestri Ponente, Genova","950.0","4","132.0","2","1"
"262","Bilocale via Milano,43, Dinegro, Genova","1800.0","2","50.0","nan","1"
"263","Appartamento via San Martino, San Martino, Genova","720.0","5+","120.0","nan","1"
"264","Bilocale via Quinto,18, Quarto, Genova","1840.0","2","60.0","nan","1"
"265","Bilocale via Arnaldo da Brescia,23, Sturla, Genova","1840.0","2","60.0","nan","1"
"266","Quadrilocale via Federico Delpino 35, Castelletto, Genova","1000.0","4","130.0","2","1"
"267","Bilocale via dei Platani, Staglieno, Genova","540.0","2","70.0","nan","1"
"268","Quadrilocale via Giuseppe Casaregis, Foce, Genova","800.0","4","120.0","nan","1"
"269","Bilocale piazza Piccapietra 73, Centro Città, Genova","900.0","2","75.0","nan","1"
"270","Bilocale via Ferrara 155, San Teodoro, Genova","440.0","2","55.0","nan","1"
"271","Trilocale viale Goffredo Palazzi 3, Albaro, Genova","900.0","3","110.0","nan","1"
"272","Bilocale via Emilio Salgari 491, Pegli, Genova","770.0","2","77.0","nan","1"
"273","Appartamento ottimo stato, secondo piano, Albaro, Genova","750.0","5","72.0","nan","1"
"274","Appartamento via Giorgio Byron 3, Albaro, Genova","3000.0","5","120.0","2","1"
"275","Trilocale via Borghetto 2a, Pra', Genova","550.0","3","90.0","nan","1"
"276","Bilocale piazzetta Campopisano Inferiore 7, Molo, Genova","785.0","2","90.0","nan","5"
"277","Trilocale Vico del Piombo, Maddalena, Genova","520.0","3","70.0","nan","5"
"278","Appartamento via Aurelio Robino 76, Marassi, Genova","650.0","5","100.0","2","5"
"279","Bilocale via Susanna Fontanarossa, Quezzi, Genova","350.0","2","55.0","nan","5"
"280","Quadrilocale via San Giovanni Battista 46, Sestri Ponente, Genova","750.0","4","120.0","nan","5"
"281","Bilocale buono stato, quinto piano, Castelletto, Genova","650.0","2","60.0","nan","5"
"282","Quadrilocale via Francesco Dassori, Albaro, Genova","1000.0","4","130.0","2","5"
"283","Trilocale ottimo stato, quarto piano, Dinegro, Genova","850.0","3","110.0","2","5"
"284","Appartamento corso Firenze, Castelletto, Genova","1000.0","5","146.0","nan","5"
"285","Bilocale buono stato, secondo piano, Quarto, Genova","600.0","2","70.0","nan","5"
"286","Bilocale via Alfredo d'Andrade 26, Sestri Ponente, Genova","950.0","2","103.0","2","5"
"287","Quadrilocale via Stefano Turr, Quarto, Genova","950.0","4","112.0","2","5"
"288","Quadrilocale via Monte Zovetto, Albaro, Genova","900.0","4","110.0","2","5"
"289","Attico via Arturo Ferretto, San Fruttuoso, Genova","850.0","4","77.0","nan","5"
"290","Quadrilocale corso Sardegna 71, San Fruttuoso, Genova","900.0","4","95.0","nan","5"
"291","Appartamento via Chiaramone, Voltri, Genova","500.0","5","65.0","nan","5"
