"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"63","Bilocale via Rosario Gregorio 24, Oreto - Perez, Palermo","450.0","2","37.0","nan","8"
"64","Bilocale via Amm. Persano 45, Montepellegrino, Palermo","600.0","2","70.0","nan","8"
"65","Appartamento via Perpignano 12, Zisa, Palermo","650.0","5","120.0","nan","8"
"66","Trilocale via Sferracavallo 148, Sferracavallo - Barcarello, Palermo","750.0","3","118.0","2","8"
"67","Appartamento via rea 13, Partanna, Palermo","1000.0","5","145.0","3","8"
"68","Bilocale via san ciro 64, Brancaccio, Palermo","500.0","2","60.0","nan","8"
"69","Trilocale via Mattei 27, Mondello - Valdesi, Palermo","2500.0","3","60.0","nan","8"
"70","Trilocale via Carmelo Lazzaro, Montegrappa, Palermo","730.0","3","91.0","nan","8"
"71","Bilocale Fondo Rubino Muratore 33, Zisa, Palermo","520.0","2","55.0","2","8"
"72","Trilocale via Monte Cuccio, De Gasperi - Croce Rossa, Palermo","780.0","3","84.0","nan","8"
"73","Villa bifamiliare viale Colonia Marina 18, Mondello - Valdesi, Palermo","3000.0","3","80.0","2","8"
"74","Trilocale appartamento via luigi cosenz 4, CEP - Michelangelo Alta, Palermo","550.0","3","95.0","nan","8"
"75","Trilocale via Belmonte Chiavelli, Guadagna, Palermo","680.0","3","98.0","2","8"
"76","Bilocale via Papa Pio X 18, Arenella, Palermo","600.0","2","65.0","nan","1"
"77","Trilocale via dei Nebrodi 47, De Gasperi - Croce Rossa, Palermo","800.0","3","83.0","nan","1"
"78","Appartamento via Domenico Russo, Calatafimi Alta, Palermo","680.0","5","130.0","2","1"
"79","Trilocale via Frate Pasquale Sarullo 19, Notarbartolo - Sciuti, Palermo","700.0","3","130.0","2","1"
"80","Quadrilocale via Antonio Marinuzzi 177A, Oreto - Perez, Palermo","780.0","4","110.0","2","1"
"81","Trilocale via Fortuna 8, Mondello - Valdesi, Palermo","1000.0","3","70.0","nan","1"
"82","Bilocale corso dei mille 543, Settecannoli, Palermo","350.0","2","55.0","nan","1"
