"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"209","Bilocale via San Felice,8, San Felice, Bologna","1520.0","2","45.0","nan","4"
"210","Bilocale via Guglielmo Marconi,65, Marconi, Bologna","1705.0","2","65.0","nan","4"
"211","Monolocale via Solferino,3, Castiglione - Tribunale, Bologna","1200.0","nan","35.0","nan","4"
"212","Monolocale via Ermete Zacconi,8, San Donato, Bologna","1045.0","nan","30.0","nan","4"
"213","Bilocale via Don Giuseppe Bedetti,109, Corticella, Bologna","1450.0","2","60.0","nan","4"
"214","Trilocale via Emilia Levante,43, Mazzini - Fossolo, Bologna","2370.0","3","125.0","2","4"
"215","Monolocale via Milazzo,5, Marconi, Bologna","1200.0","nan","30.0","nan","4"
"216","Trilocale via Alessandro Tiarini,7, Bolognina, Bologna","1800.0","3","50.0","2","4"
"217","Bilocale via Luigi Vestri,1, San Donato, Bologna","1960.0","2","65.0","nan","4"
"218","Trilocale Strada Maggiore,46, San Vitale, Bologna","3845.0","3","200.0","2","4"
"219","Quadrilocale via Cesare Battisti,2, Centro Storico, Bologna","3350.0","4","160.0","2","4"
"220","Bilocale via Santo Stefano,49, Santo Stefano, Bologna","1910.0","2","50.0","nan","4"
"221","Bilocale via San Carlo,18, Marconi, Bologna","1400.0","2","63.0","nan","4"
"222","Bilocale viale della Repubblica,3, San Donato, Bologna","1350.0","2","50.0","nan","4"
"223","Bilocale via Beniamino Gigli,20, Murri, Bologna","1630.0","2","75.0","nan","4"
"224","Monolocale via Rizzoli,18, Centro Storico, Bologna","1600.0","nan","40.0","nan","4"
"225","Bilocale piazza San Martino,1, Centro Storico, Bologna","1630.0","2","55.0","nan","4"
"226","Trilocale via Anna Grassetti,5, Massarenti, Bologna","1700.0","3","43.0","2","0"
"227","Monolocale via Marco Emilio Lepido,128, Borgo Panigale, Bologna","1100.0","nan","50.0","nan","0"
"228","Bilocale via Guglielmo Marconi,65, Marconi, Bologna","1705.0","2","65.0","nan","0"
"229","Bilocale via Guglielmo Marconi,65, Marconi, Bologna","1815.0","2","65.0","nan","0"
"230","Bilocale via Guglielmo Marconi,65, Marconi, Bologna","1815.0","2","65.0","nan","0"
"231","Bilocale via Parisio,12, Murri, Bologna","1300.0","2","50.0","nan","0"
