"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"65","Bilocale Borgo Canale, Centro Storico, Parma","550.0","2","50.0","nan","0"
"66","Bilocale via I. Cocconi, San Leonardo, Parma","750.0","2","70.0","nan","0"
"67","Trilocale via Bandi 5, Ospedale - Volturno, Parma","1300.0","3","75.0","nan","0"
"68","Bilocale via Emilia Est, San Lazzaro, Parma","950.0","2","55.0","nan","0"
"69","Trilocale Strada Abbeveratoia, Ospedale - Volturno, Parma","1200.0","3","77.0","nan","0"
"70","Appartamento Strada Abbeveratoia 22, Ospedale - Volturno, Parma","300.0","5","100.0","nan","0"
"71","Trilocale Strada Camillo Benso di Cavour, Centro Storico, Parma","1500.0","3","150.0","2","0"
"72","Bilocale via Mario Antonio Pesenti, Ospedale - Volturno, Parma","1100.0","2","64.0","nan","0"
"73","Bilocale via Vincenzo Bellini, Stadio - Cittadella, Parma","1100.0","2","60.0","nan","0"
"74","Mansarda via Vincenzo Bellini, Stadio - Cittadella, Parma","850.0","2","60.0","nan","0"
"75","Villa bifamiliare via Francesco Zanetti, Ospedale - Volturno, Parma","2000.0","5+","350.0","3","0"
"76","Bilocale via Vincenzo Bellini 3, Stadio - Cittadella, Parma","1100.0","2","60.0","nan","2"
"77","Trilocale Strada Matteo Renato Imbriani, Parco Ducale - Oltretorrente, Parma","1100.0","3","90.0","2","2"
"78","Trilocale Strada Aurelio Saffi, 33, Parma Italia, Parma, Parma, 43121, Italia, Centro Storico, Parma","1500.0","3","110.0","nan","2"
"79","Bilocale ottimo stato, secondo piano, Centro Storico, Parma","1300.0","2","70.0","nan","2"
"80","Bilocale viale Giovanni Falcone 44, San Leonardo, Parma","750.0","2","55.0","nan","2"
"81","Monolocale viale villetta, Villetta, Parma","400.0","nan","30.0","nan","2"
"82","Trilocale Strada della Repubblica, Centro Storico, Parma","950.0","3","90.0","2","2"
"83","Quadrilocale via Ciro Menotti, 3, Parma Italia, Parma, Parma, 43125, Italia, Ospedale - Volturno, Parma","1950.0","4","150.0","2","2"
"84","Bilocale Strada Egidio Pini, Ospedale - Volturno, Parma","550.0","2","58.0","nan","2"
"85","Trilocale piazza Giuseppe Garibaldi, Centro Storico, Parma","1600.0","3","100.0","2","2"
"86","Bilocale Borgo 20 Marzo, Centro Storico, Parma","nan","2","80.0","nan","2"
"87","Quadrilocale via Benvenuto Cellini, San Lazzaro, Parma","750.0","4","95.0","nan","2"
"88","Quadrilocale ottimo stato, primo piano, Centro Storico, Parma","1800.0","4","100.0","2","2"
"89","Bilocale Borgo 20 Marzo, Centro Storico, Parma","nan","2","80.0","nan","2"
"90","Trilocale via Jacopo Tintoretto, Montanara - Cinghio, Parma","1100.0","3","96.0","nan","2"
"91","Attico via Padre Lino Maupas 12, Parco Ducale - Oltretorrente, Parma","1200.0","2","70.0","nan","2"
"92","Monolocale via Taro, Villetta, Parma","450.0","nan","40.0","nan","2"
"93","Bilocale Strada Conservatorio, Centro Storico, Parma","800.0","2","50.0","nan","2"
"94","Trilocale via Torrente Gotra, Montanara - Cinghio, Parma","750.0","3","90.0","nan","2"
"95","Bilocale via Brescia, San Leonardo, Parma","670.0","2","45.0","nan","2"
"96","Bilocale Strada Antonio Zarotto, San Lazzaro, Parma","600.0","2","50.0","nan","2"
"97","Attico via Emilia Est, San Lazzaro, Parma","900.0","2","95.0","nan","2"
"98","Bilocale Strada 20 Settembre, Centro Storico, Parma","650.0","2","52.0","nan","2"
"99","Bilocale piazza della Steccata, Centro Storico, Parma","1000.0","2","100.0","nan","2"
"100","Bilocale Carlo Cattaneo, Ospedale - Volturno, Parma","900.0","2","50.0","nan","2"
"101","Quadrilocale via Giovanni Bottesini 4, San Lazzaro, Parma","1000.0","4","103.0","nan","2"
"102","Trilocale Strada Antonio Cocconcelli, Parco Ducale - Oltretorrente, Parma","1200.0","3","80.0","nan","2"
"103","Appartamento Strada Giuseppe Garibaldi 1, Centro Storico, Parma","nan","5","120.0","2","2"
"104","Trilocale via Antonio Gramsci 35, Pablo - Prati Bocchi, Parma","1050.0","3","78.0","nan","2"
"105","Trilocale via Bruno Buozzi, San Pancrazio, Parma","750.0","3","95.0","2","2"
"106","Bilocale Borgo San Silvestro, Centro Storico, Parma","nan","2","65.0","nan","2"
"107","Bilocale via Clemente Bondi 18, San Lazzaro, Parma","600.0","2","55.0","nan","2"
"108","Bilocale via Dalmazia 30, Centro Storico, Parma","700.0","2","40.0","nan","2"
