"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"63","Palazzo - Edificio via Corfù, Brescia Due, Brescia","1200.0","3","188.0","nan","1"
"64","Bilocale viale Venezia 71, Panoramica, Brescia","680.0","2","50.0","nan","1"
"65","Bilocale via del Brolo, Villaggio Prealpino, Brescia","580.0","2","57.0","nan","1"
"66","Trilocale viale della Stazione 23, Solferino - Diaz, Brescia","600.0","3","80.0","nan","1"
"67","Quadrilocale Contrada del Carmine 32, Carmine, Brescia","1200.0","4","140.0","2","1"
"68","Terratetto unifamiliare 220 m², ottimo stato, Carmine, Brescia","1300.0","5+","220.0","2","1"
"69","Trilocale ottimo stato, quarto piano, Magenta - Arnaldo, Brescia","1500.0","3","130.0","2","1"
"70","Monolocale via Fornaci, Fornaci, Brescia","400.0","nan","35.0","nan","1"
"71","Trilocale via Adolfo Ferrata 12, Ospedale Civile, Brescia","730.0","3","nan","nan","1"
"72","Trilocale via Trieste, Magenta - Arnaldo, Brescia","1350.0","3","80.0","nan","1"
"73","Trilocale via Gregorio Brunelli, Urago Mella, Brescia","700.0","3","117.0","2","1"
"74","Quadrilocale via Sabotino 21, Via Veneto - Borgo Trento, Brescia","900.0","4","135.0","2","1"
"75","Trilocale via Tosio 30, Magenta - Arnaldo, Brescia","nan","3","95.0","nan","1"
"76","Trilocale piazzale della Repubblica, Solferino - Diaz, Brescia","650.0","3","79.0","nan","3"
"77","Trilocale buono stato, terzo piano, Porta Venezia, Brescia","700.0","3","110.0","2","3"
"78","Trilocale via Fabio Filzi 99, Via Veneto - Borgo Trento, Brescia","1350.0","3","140.0","nan","3"
"79","Quadrilocale via Lodovico Balardini 26, Buffalora, Brescia","1800.0","4","67.0","nan","3"
"80","Bilocale via antiche mura, 4, Magenta - Arnaldo, Brescia","950.0","2","70.0","nan","3"
"81","Quadrilocale via Francesco Crispi, Magenta - Arnaldo, Brescia","2500.0","4","180.0","3+","3"
"82","Bilocale via Crocifissa di Rosa, Crocifissa di Rosa, Brescia","nan","2","60.0","nan","3"
"83","Trilocale piazzale della Repubblica, Solferino - Diaz, Brescia","700.0","3","85.0","nan","3"
"84","Terratetto unifamiliare via Sondrio, Chiesanuova, Brescia","6666.0","nan","1.539","nan","3"
"85","Quadrilocale via San Faustino, Carmine, Brescia","1300.0","4","200.0","2","3"
"86","Quadrilocale viale del Piave, Porta Venezia, Brescia","700.0","4","115.0","2","3"
"87","Bilocale via Palermo 50, Chiesanuova, Brescia","530.0","2","60.0","nan","3"
"88","Bilocale buono stato, Mompiano - Costalunga, Brescia","800.0","2","65.0","2","3"
"89","Trilocale corso Palestro, Loggia - Garibaldi, Brescia","850.0","3","80.0","nan","3"
"90","Bilocale corso Giuseppe Zanardelli 1, Magenta - Arnaldo, Brescia","nan","2","75.0","nan","3"
"91","Trilocale buono stato, quarto piano, Brescia Due, Brescia","700.0","3","100.0","nan","3"
