"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"67","Bilocale largo Hannover 33, Centro Storico, Modena","950.0","2","40.0","nan","2"
"68","Quadrilocale via Cesare Battisti, Centro Storico, Modena","2500.0","4","80.0","2","2"
"69","Appartamento ottimo stato, primo piano, Sant'Agnese - Università, Modena","1200.0","5","144.0","2","2"
"70","Trilocale via Oreste Chiossi 82, Portile - Paganine, Modena","1800.0","3","164.0","2","2"
"71","Appartamento via Taglio, 1000, Centro Storico, Modena","1100.0","5+","160.0","2","2"
"72","Quadrilocale ottimo stato, secondo piano, Centro Storico, Modena","1800.0","4","120.0","2","2"
"73","Quadrilocale viale Gaetano Moreali, Sant'Agnese - Università, Modena","1200.0","4","105.0","2","2"
"74","Monolocale via Emilia Est 649, San Lazzaro, Modena","800.0","nan","25.0","nan","2"
"75","Bilocale via Nazario Sauro 44, Centro Storico, Modena","1200.0","2","25.0","nan","2"
"76","Trilocale via Sant'Eufemia, Centro Storico, Modena","1000.0","3","70.0","nan","2"
"77","Bilocale via Giovanni Galvani 12, Sacca - Stazione, Modena","1500.0","2","40.0","nan","2"
"78","Monolocale via Cesare Battisti, Centro Storico, Modena","500.0","nan","4.0","2","2"
"79","Quadrilocale via Emilia Est 161, Musicisti, Modena","1300.0","4","95.0","2","2"
"80","Bilocale via Carlo Sigonio, Sant'Agnese - Università, Modena","1100.0","2","55.0","nan","2"
"81","Quadrilocale via Emilia Est 161, Musicisti, Modena","1800.0","4","120.0","2","2"
"82","Appartamento via ponchielli, San Lazzaro, Modena","2000.0","5+","239.0","nan","2"
"83","Bilocale via Saragozza, Centro Storico, Modena","2000.0","2","80.0","nan","2"
"84","Trilocale via Alberto Braglia, Buon Pastore - Parco Amendola, Modena","1000.0","3","80.0","nan","2"
"85","Monolocale via Ludovik Leizer Zamenhof, Sant'Agnese - Università, Modena","800.0","nan","25.0","nan","2"
"86","Appartamento via Ponchielli, San Lazzaro, Modena","2000.0","5+","240.0","3","2"
"87","Quadrilocale via Francesco Rismondo, Centro Storico, Modena","1500.0","4","100.0","2","2"
"88","Appartamento buono stato, primo piano, Centro Storico, Modena","1100.0","5","150.0","2","2"
"89","Appartamento Ponchielli, San Lazzaro, Modena","1100.0","5","140.0","2","2"
"90","Quadrilocale ottimo stato, terzo piano, Centro Storico, Modena","850.0","4","50.0","nan","2"
"91","Trilocale Storchi, Viali, Modena","990.0","3","110.0","nan","2"
"92","Trilocale ottimo stato, quarto piano, Sant'Agnese - Università, Modena","1000.0","3","68.0","nan","2"
"93","Bilocale via Morselli, Musicisti, Modena","700.0","2","60.0","nan","2"
"94","Quadrilocale via Varese, Morane - Contrada, Modena","900.0","4","105.0","nan","2"
"95","Bilocale via Castelmaraldo 52, Centro Storico, Modena","1000.0","2","55.0","nan","2"
"96","Terratetto plurifamiliare Stradello Fossa Gazzuoli, Cognento, Modena","2000.0","5+","150.0","3","2"
"97","Appartamento Cia Canalino, Centro Storico, Modena","2300.0","5","190.0","2","2"
"98","Quadrilocale ottimo stato, primo piano, Centro Storico, Modena","2300.0","4","204.0","2","2"
"99","Villa unifamiliare via Giacomo Costantino Beltrami, Cognento, Modena","1900.0","5+","273.0","3+","2"
"100","Quadrilocale via Jacopo da Porto Sud, Cognento, Modena","1000.0","4","85.0","nan","2"
"101","Bilocale via Francesco Selmi, Centro Storico, Modena","800.0","2","50.0","nan","3"
"102","Bilocale via Lotario Bacciolani, Sant'Agnese - Università, Modena","570.0","2","35.0","nan","3"
"103","Bilocale via Renzo Reggiani, Cittanova - Marzaglia, Modena","550.0","2","50.0","nan","3"
"104","Trilocale via Emilia centro 193, Centro Storico, Modena","980.0","3","70.0","nan","3"
"105","Trilocale Strada Nazionale per Carpi Sud, Madonnina - Tre Olmi, Modena","700.0","3","50.0","nan","3"
"106","Trilocale via Scanaroli, Sant'Agnese - Università, Modena","1100.0","3","80.0","nan","3"
"107","Attico via Cagliari, Vaciglio, Modena","900.0","3","95.0","nan","3"
"108","Attico corso Canalchiaro, Centro Storico, Modena","1250.0","5+","140.0","2","3"
"109","Appartamento buono stato, secondo piano, Viali, Modena","1500.0","5","170.0","2","3"
"110","Bilocale via Taglio, Centro Storico, Modena","950.0","2","50.0","nan","3"
"111","Monolocale via Renzo Reggiani, Cittanova - Marzaglia, Modena","350.0","nan","20.0","nan","3"
"112","Appartamento via Donzi, Centro Storico, Modena","1800.0","5","130.0","2","3"
"113","Quadrilocale via Fabriani, Sacca - Stazione, Modena","1400.0","4","100.0","2","3"
"114","Quadrilocale ottimo stato, primo piano, Cognento, Modena","1000.0","4","100.0","2","3"
"115","Bilocale Strada Chiesa Marzaglia, Cittanova - Marzaglia, Modena","550.0","2","55.0","nan","3"
"116","Villa bifamiliare via Alberto Magnaghi, Cittanova - Marzaglia, Modena","700.0","5","110.0","2","3"
"117","Bilocale ottimo stato, Centro Storico, Modena","1100.0","2","60.0","nan","3"
"118","Trilocale via de' Gavasseti, Villaggio Giardino, Modena","1000.0","3","80.0","nan","3"
"119","Bilocale via dell'Università, Centro Storico, Modena","1400.0","2","90.0","nan","3"
"120","Bilocale piazza Dante Alighieri 15E, Sacca - Stazione, Modena","480.0","2","50.0","nan","3"
"121","Quadrilocale via Jacopo da Porto Sud 519, Baggiovara, Modena","1000.0","4","85.0","nan","3"
"122","Quadrilocale Strada Cognento 208, Cognento, Modena","550.0","4","75.0","nan","3"
